City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mar del Plata,5,AR,1584069291,94,-38.0,-57.56,72.0,4.7
Bredasdorp,0,ZA,1584069296,93,-34.53,20.04,62.6,4.7
Punta Arenas,75,CL,1584069297,93,-53.15,-70.92,50.0,11.41
Noumea,31,NC,1584069459,59,-22.28,166.46,91.4,10.29
Comodoro Rivadavia,33,AR,1584069345,87,-45.87,-67.5,55.4,3.36
Guarujá,40,BR,1584069465,77,-23.99,-46.26,77.0,4.7
Rikitea,0,PF,1584069467,79,-23.12,-134.97,77.07,18.19
Rocha,0,UY,1584069468,97,-34.48,-54.33,63.54,2.82
Ushuaia,75,AR,1584069209,81,-54.8,-68.3,51.8,5.82
Buala,100,SB,1584069470,72,-8.14,159.59,82.31,8.61
Hobart,75,AU,1584069236,77,-42.88,147.33,68.0,10.29
Ancud,75,CL,1584069472,100,-41.87,-73.82,55.4,6.93
New Norfolk,100,AU,1584069473,72,-42.78,147.06,64.0,3.0
Bambous Virieux,75,MU,1584069478,100,-20.34,57.76,80.01,6.93
Mitsamiouli,20,KM,1584069480,88,-11.38,43.28,78.8,6.93
Luangwa,93,ZM,1584069481,95,-15.62,30.42,71.8,5.14
La Santisima Trinidad,0,BO,1584069484,68,-14.83,-64.9,79.83,2.28
Mareeba,40,AU,1584069491,55,-17.0,145.43,91.0,8.05
Hermanus,0,ZA,1584069496,88,-34.42,19.23,63.0,4.0
Mount Gambier,90,AU,1584069498,82,-37.83,140.77,60.8,20.8
Faanui,96,PF,1584069500,72,-16.48,-151.75,83.5,9.69
Bengkulu,93,ID,1584069504,56,-3.8,102.27,88.59,2.06
Itarema,100,BR,1584069509,92,-2.92,-39.92,75.87,0.2
Salinópolis,100,BR,1584069515,79,-0.61,-47.36,80.53,1.79
Souillac,75,MU,1584069520,100,-20.52,57.52,80.01,6.93
Castro,0,BR,1584069522,90,-24.79,-50.01,62.55,5.19
Pio XII,100,BR,1584069523,97,-3.83,-45.15,74.79,4.76
Cidreira,0,BR,1584069525,81,-30.18,-50.21,76.42,15.86
Airai,4,TL,1584069529,56,-8.93,125.41,79.99,6.31
Arraial do Cabo,40,BR,1584069531,83,-22.97,-42.03,77.0,5.82
Grand Gaube,75,MU,1584069535,100,-20.01,57.66,80.01,6.93
Mataura,5,NZ,1584069542,71,-46.19,168.86,62.01,8.01
Mahébourg,75,MU,1584069547,100,-20.41,57.7,80.01,6.93
Kieta,60,PG,1584069549,76,-6.22,155.63,84.9,21.59
Avarua,89,CK,1584069552,94,-21.21,-159.78,77.0,3.36
Hithadhoo,1,MV,1584069553,69,-0.6,73.08,83.57,13.09
Kerema,100,PG,1584069557,77,-7.96,145.78,82.24,5.59
Vaini,90,TO,1584069560,94,-21.2,-175.2,77.0,9.17
Kununurra,4,AU,1584069568,37,-15.77,128.73,96.8,4.7
Busselton,81,AU,1584069570,31,-33.65,115.33,79.0,14.97
Port Elizabeth,20,ZA,1584069572,93,-33.92,25.57,64.4,5.82
Mount Isa,40,AU,1584069331,33,-20.73,139.5,91.4,12.75
Atuona,28,PF,1584069302,70,-9.8,-139.03,82.92,9.44
Chui,0,UY,1584069585,95,-33.7,-53.46,68.99,5.57
Kiunga,100,PG,1584069586,46,-6.12,141.29,92.66,4.92
Puerto Ayora,34,EC,1584069306,100,-0.74,-90.35,79.0,5.01
Ambilobe,75,MG,1584069590,92,-13.2,49.05,75.94,2.26
East London,81,ZA,1584069591,100,-33.02,27.91,69.8,4.7
Nhulunbuy,75,AU,1584069596,66,-12.23,136.77,89.6,13.87
Te Anau,0,NZ,1584069309,49,-45.42,167.72,62.87,5.12
Porto Walter,1,BR,1584069609,82,-8.27,-72.74,76.37,2.15
Saldanha,9,ZA,1584069340,93,-33.01,17.94,62.6,6.93
Constitución,34,CL,1584069612,94,-35.33,-72.42,56.93,4.61
Panguipulli,90,CL,1584069613,100,-39.63,-72.33,62.01,1.63
Saint-Philippe,75,RE,1584069617,88,-21.36,55.77,78.8,20.8
Farafangana,69,MG,1584069621,75,-22.82,47.83,79.5,11.36
Melo,100,UY,1584069622,89,-32.37,-54.18,69.71,9.93
Carnarvon,75,AU,1584069626,34,-24.87,113.63,93.2,11.41
Corrente,98,BR,1584069628,97,-3.74,-43.34,73.72,1.7
Maricá,40,BR,1584069441,78,-22.92,-42.82,78.8,6.93
Loandjili,40,CG,1584069637,100,-4.76,11.86,78.8,2.24
Caravelas,100,BR,1584069641,71,-17.71,-39.25,80.08,3.18
Ibirubá,0,BR,1584069643,49,-28.63,-53.09,73.53,3.65
Harare,97,ZW,1584069648,96,-17.83,31.05,61.7,3.24
Karratha,87,AU,1584069652,74,-20.74,116.85,82.81,3.31
Sungai Penuh,46,ID,1584069656,68,-2.08,101.38,76.5,3.18
Poum,98,NC,1584069657,81,-20.23,164.02,82.85,14.03
Bluff,14,NZ,1584069658,71,-46.6,168.33,62.01,8.99
Namatanai,0,PG,1584069659,73,-3.67,152.43,84.97,17.63
Lebu,100,CL,1584069663,98,-37.62,-73.65,58.89,1.88
Kawalu,95,ID,1584069664,67,-7.38,108.21,82.65,3.62
Sambava,62,MG,1584069665,91,-14.27,50.17,73.72,1.39
Port Alfred,99,ZA,1584069666,83,-33.59,26.89,68.99,6.46
Cape Town,0,ZA,1584069670,87,-33.93,18.42,63.0,9.17
Cairns,75,AU,1584069681,59,-16.92,145.77,91.0,6.93
Waipawa,0,NZ,1584069694,72,-41.41,175.52,66.0,11.41
Iquitos,75,PE,1584069695,94,-3.75,-73.25,77.0,4.7
Soyo,100,AO,1584069698,87,-6.13,12.37,79.2,2.51
San Jerónimo,70,PE,1584069716,88,-11.95,-75.28,40.57,2.71
Mossamedes,39,AO,1584069720,81,-15.2,12.15,75.47,8.93
Mackay,75,AU,1584069723,65,-21.15,149.2,80.6,23.04
Antofagasta,83,CL,1584069683,82,-23.65,-70.4,66.2,6.93
Talcahuano,90,CL,1584069734,88,-36.72,-73.12,62.6,4.7
Yulara,0,AU,1584069735,10,-25.24,130.99,98.6,10.29
Mont-Dore,31,NC,1584069736,59,-22.28,166.58,91.4,10.29
Mahajanga,20,MG,1584069741,88,-15.72,46.32,75.2,5.82
Acarí,100,PE,1584069753,76,-15.43,-74.62,70.59,2.28
Bahía Blanca,29,AR,1584069553,53,-38.72,-62.27,72.79,12.15
Kaitangata,0,NZ,1584069755,75,-46.28,169.85,54.36,7.67
Hokitika,0,NZ,1584069762,77,-42.72,170.97,62.65,5.7
Isangel,20,VU,1584069768,70,-19.55,169.27,89.6,6.93
Lüderitz,0,NA,1584069716,88,-26.65,15.16,64.4,12.75
Geraldton,75,AU,1584069783,31,-28.77,114.6,91.4,17.22
Port Lincoln,54,AU,1584069784,67,-34.73,135.87,67.44,21.32
Ahipara,91,NZ,1584069792,80,-35.17,173.17,75.99,12.86
Nelson Bay,40,AU,1584069794,57,-32.72,152.15,81.0,9.17
Maceió,75,BR,1584069748,100,-9.67,-35.74,75.2,1.12
Port Augusta,90,AU,1584069802,73,-32.5,137.77,82.99,21.92
Feijó,97,BR,1584069804,86,-8.16,-70.35,75.85,1.41
